성분명,성분코드,제품코드,제품명,업체명,공고번호,공고일자,약품상세정보
aceclofenac,100901ACH,648101510,에이서캡슐(아세클로페낙)_(0.1g/1캡슐),경동제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ACS,644304150,클란자에스연질캡슐(아세클로페낙)(수출명:SpeenacSoftCaps.)_(0.1g/1캡슐),한국유나이티드제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ACS,698400080,클론자에스연질캡슐(아세클로페낙)_(0.1g/1캡슐),한국바이오켐제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,670601220,세크로정(아세클로페낙)(수출명:HUONSACENACTab.)_(0.1g/1정),(주)휴온스,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,657801040,세니탈정(아세클로페낙)(수출명:하나세니탈정)_(0.1g/1정),하나제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,671801920,세나펜정(아세클로페낙)_(0.1g/1정),대원제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,645300710,베오페낙정(아세클로페낙)_(0.1g/1정),한림제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,642802650,류마크로정(아세클로페낙)_(0.1g/1정),고려제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,664102930,아세클로디드정(아세클로페낙)_(0.1g/1정),동인당제약(주),20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
aceclofenac,100901ATB,622600420,아세티론정(아세클로페낙)_(0.1g/1정),(주)씨엘팜,20210248,2021.7.15,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자에서 특히, 위장관 출혈과 천공 발생 빈도가 증가함."
